;M?tpunkt;Starttid;Sluttid;Order;Ordernummer;Artikelnamn;Artikelnummer;Artikeltyp;Producerad m?ngd;Kasserad m?ngd;Godk?nd m?ngd;Omarbetad m?ngd;Varaktighet;Varaktighet in hours;Schemalagd tid;Schemalagd tid in hours;Drifttid;Drifttid in hours;St?lltid;St?lltid in hours;Total stopptid;Total stopptid in hours;Antal stopp;Medelcykeltid;Medelcykeltid in hours;Medelcykeltid inkl. stopptid;Medelcykeltid inkl. stopptid in hours;TAK;Tillg?nglighet;Anl?ggningsutbyte;Kvalitetsutbyte;Tillg?nglighetsf?rlust;Tempof?rlust;Kvalitetsf?rlust;Maxproduktion;M?lproduktion;Medelproduktion per timme;Medelproduktion per minut;Cluster labels
12;02 - Wet end;30.4.2017 06:49;30.4.2017 07:01;3706-1;3706-1;Bromshus Utan Fl?ns 191-P0059-01;295G102B;;0;0;0;0;00:11:41;0,19;00:11:41;0,19;00:00:00;0;00:11:41;0,19;00:11:41;0,19;1;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;28;28;0;0;1
13;02 - Wet end;30.4.2017 07:26;30.4.2017 08:03;3706-1;3706-1;Bromshus Utan Fl?ns 191-P0059-01;295G102B;;0;0;0;0;00:37:33.7000000;0,63;00:37:33.7000000;0,63;00:00:00;0;00:37:33.7000000;0,63;00:37:33.7000000;0,63;1;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;90,1;90,1;0;0;1
14;02 - Wet end;30.4.2017 08:07;05.5.2017 11:36;3706-1;3706-1;Bromshus Utan Fl?ns 191-P0059-01;295G102B;;1983;0;1983;0;5.03:28:58.8000000;123,48;1.23:43:58.8000000;47,73;1.00:17:23.5000000;24,29;00:08:17.9000000;0,14;23:26:35.3000000;23,44;73;00:00:44.1000000;0,01;00:01:26.7000000;0,02;81,7;81,7;100;100;18,3;0;0;1719,5;1719,5;81,6;1,4;3
15;02 - Wet end;28.4.2017 13:22;28.4.2017 16:59;3714;3714;Viper Compact;295G002;;242;16;226;0;03:36:39.5000000;3,61;03:36:39.5000000;3,61;03:16:12.9000000;3,27;00:08:29.9000000;0,14;00:20:26.5000000;0,34;2;00:00:48.6000000;0,01;00:00:53.7000000;0,01;84,6;90,6;100;93,4;9,1;0;6,4;213,1;213,1;74;1,2;1
16;10 - Re Winder;26.4.2017 12:06;30.4.2017 06:32;L2839;L2839;Klips V?xj? 12400217;270O018;;154392;200;154192;0;3.18:26:12.6000000;90,44;3.05:46:16.3000000;77,77;3.02:39:38.1000000;74,66;00:04:29.1000000;0,07;03:06:38.2000000;3,11;25;00:00:01.7000000;0;00:00:01.8000000;0;94,5;96;98,6;99,9;4;1,4;0,1;130474,4;130474,4;2067,9;34,5;0
17;05 - Pre-Dryer;24.4.2017 13:22;29.4.2017 19:26;L2950;L2950;Ventil Under Keps V2 Bl? 3952179;245P009;;306272;1060;305212;0;5.06:03:46.8000000;126,06;2.20:26:15.9000000;68,44;2.17:30:09.8000000;65,5;00:00:00;0;02:56:06.2000000;2,94;23;00:00:00.8000000;0;00:00:00.8000000;0;94,5;95,7;99;99,7;4,2;1;0,3;258492,7;258492,7;4675,7;77,9;0
18;Open6;04.5.2017 11:27;04.5.2017 11:27;L2961;L2961;Glider 15815 H?ger;210O001;;0;0;0;0;00:00:07;0;00:00:07;0;00:00:00;0;00:00:07;0;00:00:07;0;1;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;0,9;0,9;0;0;1
19;Open6;04.5.2017 11:27;05.5.2017 09:51;L2961;L2961;Glider 15815 H?ger;210O001;;3820;19;3801;0;22:24:07.5000000;22,4;16:24:07.5000000;16,4;07:13:12;7,22;01:19:50.2000000;1,33;09:10:55.5000000;9,18;22;00:00:06.8000000;0;00:00:15.5000000;0;40,2;44;91,9;99,5;51,8;7,5;0,5;7558,1;7558,1;529,1;8,8;1
20;Open5;30.4.2017 09:25;30.4.2017 10:11;L2975;L2975;Ventilklaff 17813 Vit L?seklaff;210N005-1;;176;0;176;0;00:45:56.6000000;0,77;00:45:56.6000000;0,77;00:00:00;0;00:45:56.6000000;0,77;00:45:56.6000000;0,77;1;00:00:00;0;00:00:15.7000000;0;0;0;100;100;100;0;0;938,4;938,4;0;0;1
21;08 - Pope Reel;27.4.2017 09:18;28.4.2017 16:22;L2978;L2978;H?rnvinkel NRW 0,5 12400238;270N024;;29880;146;29734;0;1.07:03:56.3000000;31,07;1.01:38:03.9000000;25,63;1.00:51:40.8000000;24,86;00:04:50.1000000;0,08;00:46:23.1000000;0,77;7;00:00:03;0;00:00:03.1000000;0;93,4;97;96,8;99,5;3;3,1;0,5;25457,6;25457,6;1201,9;20;1
22;10 - Re Winder;04.5.2017 06:49;04.5.2017 07:09;L3029;L3029;Glass?kring 44-5 Svart 12400240;270N405;;0;0;0;0;00:19:33;0,33;00:19:33;0,33;00:00:00;0;00:19:33;0,33;00:19:33;0,33;1;00:00:00;0;00:00:00;0;0;0;100;100;100;0;0;240,6;240,6;0;0;1
